Date,Day,Description
01-Jan-10,Friday,NEW YEAR
26-Jan-10,Tuesday,REPUBLIC DAY
12-Feb-10,Friday,MAHASHIVRATRI
01-Mar-10,Monday,HOLI
16-Mar-10,Tuesday,GUDI PADWA
24-Mar-10,Wednesday,RAM NAVMI
01-Apr-10,Thursday,ANNUAL BANK CLOSING
02-Apr-10,Friday,GOOD FRIDAY
14-Apr-10,Wednesday,DR. AMBEDKAR JAYANTI
27-May-10,Thursday,BUDDHA POURNIMA
01-Jul-10,Thursday,RBI CLOSING
10-Sep-10,Friday,RAMZAN ID
30-Sep-10,Thursday,HALF YEARLY BANK CLOSING
05-Nov-10,Friday,LAXMI PUJA
17-Nov-10,Wednesday,BAKRI ID
17-Dec-10,Friday,MOHARUM
26-Jan-11,Wednesday,Republic Day
16-Feb-11,Wednesday,Id-E-Milad
02-Mar-11,Wednesday,Mahashivratri
01-Apr-11,Friday,Annual Closing of Banks
04-Apr-11,Monday,Gudi Padwa
12-Apr-11,Tuesday,Ram Navmi
14-Apr-11,Thursday,Dr. Babasaheb Ambedkar Jayanti
22-Apr-11,Friday,Good Friday
17-May-11,Tuesday,Buddha Pournima
01-Jul-11,Friday,Annual Closing of RBI
15-Aug-11,Monday,Independence Day
19-Aug-11,Friday,Parsi New Year
31-Aug-11,Wednesday,Ramzan ID
01-Sep-11,Thursday,Ganesh Chaturthi
30-Sep-11,Friday,Half Yearly Bank Closing
06-Oct-11,Thursday,Dasara
26-Oct-11,Wednesday,Diwali (Laxmi Pujan)
27-Oct-11,Thursday,Diwali (Balipratipada)
07-Nov-11,Monday,Bakri Id
10-Nov-11,Thursday,Guru Nanak Jayanti
06-Dec-11,Tuesday,Moharum
26-Jan-12,Thursday,Republic Day
16-Feb-12,Thursday,General Election of Brihan Mumbai Mahanagar Palika
20-Feb-12,Monday,Mahashivratri
08-Mar-12,Thursday,Holi
23-Mar-12,Friday,Gudi Padwa
02-Apr-12,Monday,Annual Closing of Banks
05-Apr-12,Thursday,Mahavir Jayanti
06-Apr-12,Friday,Good Friday
01-May-12,Tuesday,May Day
02-Jul-12,Monday,Annual Closing of RBI
15-Aug-12,Wednesday,Independence Day
20-Aug-12,Monday,Ramzan ID
19-Sep-12,Wednesday,Ganesh Chaturthi
02-Oct-12,Tuesday,Gandhi Jayanti
24-Oct-12,Wednesday,Dasara
13-Nov-12,Tuesday,Laxmi Puja*
14-Nov-12,Wednesday,Diwali-Balipratipada
28-Nov-12,Wednesday,Gurunanak Jayanti
25-Dec-12,Tuesday,Christmas
25-Jan-13,Friday,Id-E-Milad
19-Feb-13,Tuesday,Chhatrapati Shivaji Maharaj Jayanti
27-Mar-13,Wednesday,Holi
29-Mar-13,Friday,Good Friday
01-Apr-13,Monday,Annual Closing of Banks
11-Apr-13,Thursday,Gudi Padwa
19-Apr-13,Friday,Ram Navmi
24-Apr-13,Wednesday,Mahavir Jayanti
01-May-13,Wednesday,Maharashtra Day
01-Jul-13,Monday,Annual Closing of RBI
09-Aug-13,Friday,Ramzan ID
15-Aug-13,Thursday,Independence Day
09-Sep-13,Monday,Ganesh Chaturthi
02-Oct-13,Wednesday,Gandhi Jayanti
16-Oct-13,Wednesday,Bakri ID
04-Nov-13,Monday,Diwali-Balipratipada
14-Nov-13,Thursday,Settlement Holiday
15-Nov-13,Friday,Moharram
25-Dec-13,Wednesday,Christmas
14-Jan-14,Tuesday,Id-E-Milad
19-Feb-14,Wednesday,Chhatrapati Shivaji Maharaj Jayanti
27-Feb-14,Thursday,Mahashivratri
17-Mar-14,Monday,Holi
31-Mar-14,Monday,Gudi Padwa
01-Apr-14,Tuesday,Annual Closing of Banks
08-Apr-14,Tuesday,Ram Navami
14-Apr-14,Monday,Dr. Baba Saheb Ambedkar Jayanti
18-Apr-14,Friday,Good Friday
24-Apr-14,Thursday,Parlimentary Elections
01-May-14,Thursday,Maharashtra Day
14-May-14,Wednesday,Buddha Pournima
01-Jul-14,Tuesday,Annual Closing of RBI
29-Jul-14,Tuesday,Ramzan ID
15-Aug-14,Friday,Independence Day
18-Aug-14,Monday,Parsi New Year
29-Aug-14,Friday,Ganesh Chaturthi
02-Oct-14,Thursday,Gandhi Jayanti
03-Oct-14,Friday,Dasera
06-Oct-14,Monday,Bakri ID
15-Oct-14,Wednesday,General Assembly Elections
23-Oct-14,Thursday,Diwali- Laxmi Puja
24-Oct-14,Friday,Diwali-Balipratipada
04-Nov-14,Tuesday,Moharram
06-Nov-14,Thursday,Gurunanak Jayanti
25-Dec-14,Thursday,Christmas
26-Jan-15,Monday,Republic Day
17-Feb-15,Tuesday,Mahashivratri
19-Feb-15,Thursday,Chhatrapati Shivaji Maharaj Jayanti
06-Mar-15,Friday,Holi
01-Apr-15,Wednesday,Annual Bank Closing
02-Apr-15,Thursday,Mahavir Jayanti
03-Apr-15,Friday,Good Friday
14-Apr-15,Tuesday,Dr. Baba Saheb Ambedkar Jayanti
01-May-15,Friday,Maharashtra Day
04-May-15,Monday,Buddha Pournima
18-Aug-15,Tuesday,Parsi New Year
17-Sep-15,Thursday,Ganesh Chaturthi
25-Sep-15,Friday,Bakri ID
02-Oct-15,Friday,Mahatma Gandhi Jayanti
22-Oct-15,Thursday,Dussehra
11-Nov-15,Wednesday,Diwali-Laxmi Pujan
12-Nov-15,Thursday,Diwali-Balipratipada
25-Nov-15,Wednesday,Gurunanak Jayanti
24-Dec-15,Thursday,Id-e-Milad
25-Dec-15,Friday,Christmas
26-Jan-16,Tuesday,Republic Day
19-Feb-16,Friday,Chhatrapati Shivaji Maharaj Jayanti
07-Mar-16,Monday,Mahashivratri
24-Mar-16,Thursday,Holi
25-Mar-16,Friday,Good Friday
01-Apr-16,Friday,Annual Closing of Banks
08-Apr-16,Friday,Gudi Padwa
14-Apr-16,Thursday,Dr. Baba Saheb Ambedkar Jayanti
15-Apr-16,Friday,Ram Navami
19-Apr-16,Tuesday,Mahavir Jayanti
06-Jul-16,Wednesday,Id-Ul-Fitr (Ramzan ID)
15-Aug-16,Monday,Independence Day
17-Aug-16,Wednesday,Parsi New Year
05-Sep-16,Monday,Ganesh Chaturthi
13-Sep-16,Tuesday,Bakri ID
11-Oct-16,Tuesday,Dasera
12-Oct-16,Wednesday,Moharram
31-Oct-16,Monday,Diwali-Balipratipada
14-Nov-16,Monday,Gurunanak Jayanti
12-Dec-16,Monday,Id-E-Milad
