id,age,income,tenure,district,profit_99,online_99,billpay_99,profit_00,online_00,billpay_00
1,,,6.33,1200,21,0,0,,,
2,6,3,29.5,1200,-6,0,0,-32,0,0
3,5,5,26.41,1100,-49,1,0,-22,1,0
4,,,2.25,1200,-4,0,0,,,
5,2,9,9.91,1200,-61,0,0,-4,0,0
6,,3,2.33,1300,-38,0,0,14,0,0
7,3,1,8.41,1300,-19,0,0,0,0,0
8,5,8,7.33,1200,59,0,0,-65,0,0
9,4,9,15.33,1200,493,0,0,855,0,0
10,6,8,4.33,1100,-158,0,0,-20,0,0
11,6,3,13.5,1200,395,0,0,67,0,0
12,6,1,6.25,1200,-62,0,0,-60,0,0
13,7,6,17.41,1200,-124,0,0,-128,0,0
14,,,0.58,1200,32,0,0,,,
15,4,9,14.66,1200,-28,0,0,71,1,1
16,4,7,26.66,1100,632,0,0,808,0,0
17,3,8,9,1200,-135,1,0,-120,0,0
18,,5,9.41,1200,-60,0,0,-60,0,0
19,3,7,4.16,1200,-92,0,0,-80,0,0
20,4,8,22.16,1200,68,0,0,1,0,0
21,4,7,8.66,1300,26,0,0,224,0,0
22,,,2.41,1200,-28,0,0,,,
23,3,4,4.75,1200,-6,0,0,-22,1,1
24,,,6.83,1100,43,0,0,42,0,0
25,4,6,18.91,1300,698,0,0,680,0,0
26,,,1.66,1200,-50,0,0,,,
27,4,6,8.66,1200,-27,0,0,-33,0,0
28,,,6.33,1200,-14,1,1,,,
29,,,4.83,1200,-36,0,0,,,
30,4,3,22.5,1300,14,1,0,,,
31,6,7,8.41,1200,-18,0,0,-21,0,0
32,5,8,6.25,1200,-130,0,0,-112,0,0
33,7,3,14.08,1200,-71,0,0,-28,0,0
34,4,6,29.5,1200,291,0,0,614,0,0
35,4,,5,1200,7,0,0,-19,0,0
36,2,1,2.5,1200,-32,0,0,1,0,0
37,,,31.83,1200,533,0,0,,,
38,4,7,8.58,1200,88,0,0,7,0,0
39,,,4.33,1200,-162,0,0,-83,0,0
40,2,6,6.58,1200,900,0,0,534,0,0
41,,,13.83,1200,383,0,0,,,
42,4,4,20.41,1300,-95,1,0,-111,1,0
43,4,7,17.91,1200,88,1,0,-116,1,0
44,2,7,6.16,1200,-49,0,0,259,0,0
45,,,2.5,1200,-8,0,0,-31,0,0
46,5,6,8.75,1200,32,0,0,63,0,0
47,,,0.16,1200,259,0,0,795,0,0
48,6,9,1.16,1200,512,0,0,-45,0,0
49,,,1.66,1200,-27,0,0,,,
50,,,40,1100,-1,0,0,37,0,0
51,4,7,8.75,1200,313,0,0,258,0,0
52,7,3,19.16,1200,205,0,0,136,0,0
53,,,0.75,1100,5,1,0,,,
54,5,7,7.33,1200,367,0,0,387,0,0
55,2,6,6.58,1300,-48,1,0,-45,1,0
56,5,3,29,1200,97,0,0,141,0,0
57,6,6,22.41,1300,316,0,0,336,0,0
58,,,6.25,1100,-44,0,0,827,1,0
